Analysis no.,Strat. Pos.,Eruption,controlcode,Sample,Epoch,Crater size,Date of analysis,Si/bulk cps,SiO2* (EMP),Sc,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
1979,62,Astroni 6,1,75,three-b,20,110210am,11.17,60.18,0.09,353,372,34.04,422,66.70,24.81,297,80.87,134.07,14.44,51.23,8.83,1.91,7.72,1.14,5.80,0.90,3.09,0.42,4.04,0.44,8.98,3.29,64.29,37.07,9.31
1980,61,Astroni 5,1,73,three-b,20,110210am,9.33,60.19,0.02,360,335,34.32,449,68.01,27.43,282,84.08,143.85,15.86,57.54,10.87,2.25,7.70,1.15,7.40,1.24,3.98,0.74,3.99,0.60,10.58,4.01,66.64,45.32,11.70
1981,61,Astroni 5,1,73,three-b,20,110210am,14.71,60.19,0.11,330,528,31.01,393,64.09,24.06,663,82.15,134.33,14.94,54.37,9.16,1.98,6.82,0.93,4.38,1.31,2.95,0.47,3.67,0.50,8.23,3.83,63.81,39.89,10.30
1982,61,Astroni 5,1,73,three-b,20,110210am,20.02,60.19,0.12,353,334,38.01,491,69.41,25.81,288,90.00,143.52,16.36,62.32,9.62,2.22,9.10,1.09,6.60,1.32,3.90,0.56,3.89,0.62,10.27,4.22,63.95,46.81,11.09
1983,61,Astroni 5,1,73,three-b,20,110210am,16.34,60.19,0.12,346,359,36.38,496,68.43,24.95,345,88.23,145.02,15.37,58.71,10.62,1.80,7.49,1.17,5.72,1.16,4.27,0.64,3.71,0.70,10.17,3.96,99.84,44.28,11.69
1984,61,Astroni 5,1,73,three-b,20,110210am,20.65,60.19,0.11,339,509,32.42,450,70.28,25.38,524,84.74,139.61,14.59,57.57,9.28,2.15,7.35,1.05,6.90,1.10,3.11,0.53,3.64,0.56,10.10,4.15,64.42,44.08,11.30
1985,61,Astroni 5,1,73,three-b,20,110210am,28.67,60.19,0.10,341,525,29.23,379,68.89,25.00,666,81.18,145.27,14.73,55.03,9.45,1.80,7.45,0.90,5.37,0.90,2.88,0.44,2.91,0.49,7.96,3.62,55.29,37.62,11.07
1986,61,Astroni 5,1,73,three-b,20,110210am,12.60,60.19,0.10,364,424,37.04,445,71.58,26.78,494,89.56,155.61,17.50,61.06,12.90,1.92,7.94,1.23,7.64,1.45,3.40,0.50,3.49,0.58,9.62,3.83,68.96,46.83,12.73
1987,61,Astroni 5,1,73,three-b,20,110210am,12.22,60.19,0.11,374,337,32.56,424,68.27,27.86,281,90.15,153.55,16.57,62.10,13.12,1.97,6.84,1.03,6.58,1.42,3.71,0.35,3.59,0.50,11.02,3.82,69.35,43.09,12.54
1988,61,Astroni 5,1,73,three-b,20,110210am,22.57,60.19,0.09,369,319,29.65,397,69.24,27.97,306,79.20,143.76,15.24,54.81,9.00,1.67,7.36,0.97,5.89,1.28,2.76,0.48,3.65,0.47,8.71,3.56,54.10,39.50,12.32
1989,61,Astroni 5,1,73,three-b,20,110210am,12.59,60.19,0.08,373,329,32.36,428,67.11,28.75,309,80.33,139.29,15.52,52.58,8.23,2.06,7.74,0.95,6.24,1.11,3.96,0.47,3.44,0.61,9.77,3.62,67.87,42.25,11.86
1990,61,Astroni 5,1,73,three-b,20,110210am,13.25,60.19,0.08,364,297,31.49,424,71.16,26.66,225,78.74,142.98,15.25,55.27,8.18,1.73,6.63,0.86,5.20,1.05,3.17,0.46,3.02,0.42,8.87,3.88,64.45,41.86,11.74
1991,61,Astroni 5,1,73,three-b,20,110210am,22.67,60.19,0.11,362,360,30.05,406,70.52,29.50,365,81.25,150.89,16.07,55.55,9.86,1.95,7.38,1.00,5.36,1.09,3.29,0.46,3.30,0.48,8.17,3.75,63.28,43.06,12.33
1992,61,Astroni 5,1,73,three-b,10,110210am,7.64,60.19,0.08,390,314,31.23,394,66.92,29.39,300,91.42,164.58,16.87,62.28,13.73,1.80,7.80,1.15,6.10,1.35,4.13,0.82,3.40,0.43,9.29,3.33,70.77,46.70,14.17
1993,61,Astroni 5,1,73,three-b,10,110210am,4.56,60.19,0.08,411,314,26.21,371,65.05,32.64,488,72.27,135.32,13.33,57.26,10.93,1.09,9.65,0.77,4.60,1.06,2.07,0.30,2.72,0.12,9.56,3.88,97.52,34.09,13.29
1994,61,Astroni 5,1,73,three-b,20,110210am,11.31,60.19,0.06,392,352,34.29,445,69.93,27.88,326,86.11,144.10,15.98,60.53,10.60,1.92,9.31,1.23,7.28,1.18,3.39,0.62,4.64,0.65,9.82,3.73,65.67,45.03,12.05
1995,61,Astroni 5,1,73,three-b,20,110210am,16.09,60.19,0.12,389,229,39.50,493,76.64,31.37,169,94.27,154.69,17.42,63.80,11.24,1.54,9.47,1.27,8.53,1.42,3.94,0.66,3.83,0.53,11.45,4.22,68.25,51.11,13.80
1996,60,Astroni 4 ,1,72,three-b,20,100210am,19.69,59.40,0.14,414,248,36.24,492,76.40,31.99,171,91.61,154.90,16.41,63.01,10.96,2.13,8.46,1.15,7.84,1.20,3.85,0.66,4.02,0.55,11.24,4.32,179.08,48.39,13.07
1997,60,Astroni 4 ,1,72,three-b,20,100210am,19.98,59.40,0.15,353,434,28.47,387,63.81,25.31,276,74.13,124.18,13.35,47.05,7.62,1.83,7.14,0.90,4.56,1.02,2.50,0.54,2.85,0.43,8.17,3.69,81.77,37.97,10.69
1998,60,Astroni 4 ,1,72,three-b,20,100210am,22.53,59.40,0.12,384,360,33.26,445,72.55,27.46,266,87.15,149.02,16.29,56.88,10.77,1.91,8.05,0.97,7.45,1.20,3.81,0.52,3.49,0.63,9.87,3.98,232.38,43.40,12.86
1999,60,Astroni 4 ,1,72,three-b,20,100210am,12.90,59.40,0.13,379,344,32.38,436,70.09,26.98,278,83.56,140.13,15.22,50.47,10.56,1.78,8.02,1.16,6.44,1.05,2.99,0.61,3.74,0.55,8.56,4.05,66.84,41.20,11.95
2000,60,Astroni 4 ,1,72,three-b,20,100210am,18.84,59.40,0.13,365,302,32.73,427,69.19,26.38,270,80.08,139.19,14.57,52.79,9.25,1.47,8.29,1.01,6.01,1.11,3.68,0.49,3.21,0.54,10.05,3.79,65.20,40.63,11.67
2001,60,Astroni 4 ,1,72,three-b,20,100210am,14.68,59.40,0.10,401,329,34.71,460,70.26,30.46,258,88.01,148.17,15.60,59.31,9.94,2.35,8.11,1.06,6.84,1.30,3.94,0.58,3.68,0.52,11.45,3.92,113.17,46.10,13.39
2002,60,Astroni 4 ,1,72,three-b,20,100210am,18.61,59.40,0.14,385,357,37.73,477,74.93,28.89,278,92.43,152.41,16.38,61.70,9.94,1.90,9.50,1.23,6.10,1.31,3.89,0.44,4.19,0.64,11.01,4.03,162.59,46.28,12.09
2003,60,Astroni 4 ,1,72,three-b,20,100210am,15.01,59.40,0.15,371,345,38.18,490,70.74,27.56,273,89.25,144.66,15.82,56.62,10.39,1.96,8.51,1.12,7.65,1.33,4.16,0.65,4.03,0.54,10.60,4.25,66.34,45.97,11.92
2004,60,Astroni 4 ,1,72,three-b,20,100210am,21.78,59.40,0.15,376,342,35.98,467,72.69,27.32,277,87.45,149.73,16.44,60.69,10.35,1.99,8.00,1.17,6.72,1.33,4.01,0.68,4.23,0.58,10.64,4.17,65.89,47.12,12.92
2005,60,Astroni 4 ,1,72,three-b,20,100210am,19.30,59.40,0.13,373,320,34.55,439,71.01,27.90,270,83.35,144.40,15.11,56.15,9.55,1.76,8.06,1.03,6.77,1.11,3.80,0.47,3.17,0.51,9.34,3.63,67.02,42.27,11.88
2006,60,Astroni 4 ,1,72,three-b,20,100210am,14.76,59.40,0.11,359,425,33.04,426,65.99,25.34,375,81.77,135.12,15.11,53.39,8.79,2.14,8.55,0.96,5.53,1.13,3.26,0.45,3.51,0.64,9.28,3.85,66.44,43.31,11.72
2007,59,Astroni 3 ,1,82,three-b,20,100210am,5.28,60.31,0.19,368,260,41.44,527,73.04,27.34,151,92.02,150.56,16.37,63.71,10.61,1.86,8.34,1.17,7.57,1.42,3.99,0.62,4.40,0.70,10.30,3.76,65.06,45.28,11.38
2008,59,Astroni 3 ,1,82,three-b,20,100210am,14.44,60.31,0.14,376,215,39.25,512,73.33,28.17,112,85.58,145.90,16.21,58.77,12.07,1.51,9.56,1.17,6.78,1.28,3.75,0.51,3.89,0.58,10.36,4.25,67.91,46.00,11.75
2009,59,Astroni 3 ,1,82,three-b,20,100210am,18.49,60.31,0.15,371,266,37.72,512,75.79,28.13,159,89.56,145.60,16.25,62.65,10.64,1.85,8.76,1.17,6.78,1.32,3.80,0.67,3.74,0.52,10.57,4.08,68.59,46.59,12.47
2010,59,Astroni 3 ,1,82,three-b,20,100210am,9.31,60.31,0.14,391,225,39.33,517,77.28,28.88,121,92.88,149.43,16.96,64.64,11.36,1.68,10.47,1.19,7.32,1.38,4.33,0.89,3.88,0.50,10.04,4.45,66.60,47.02,12.12
2011,59,Astroni 3 ,1,82,three-b,20,100210am,13.23,60.31,0.15,377,242,37.95,509,73.74,28.97,128,90.80,148.63,16.63,62.25,10.78,1.58,8.93,1.34,6.94,1.32,4.67,0.50,3.67,0.61,11.72,4.34,62.70,48.25,12.22
